rownum,weight,time,chick,diet
461,42,0,41,4
462,51,2,41,4
463,66,4,41,4
464,85,6,41,4
465,103,8,41,4
466,124,10,41,4
467,155,12,41,4
468,153,14,41,4
469,175,16,41,4
470,184,18,41,4
471,199,20,41,4
472,204,21,41,4
473,42,0,42,4
474,49,2,42,4
475,63,4,42,4
476,84,6,42,4
477,103,8,42,4
478,126,10,42,4
479,160,12,42,4
480,174,14,42,4
481,204,16,42,4
482,234,18,42,4
483,269,20,42,4
484,281,21,42,4
485,42,0,43,4
486,55,2,43,4
487,69,4,43,4
488,96,6,43,4
489,131,8,43,4
490,157,10,43,4
491,184,12,43,4
492,188,14,43,4
493,197,16,43,4
494,198,18,43,4
495,199,20,43,4
496,200,21,43,4
497,42,0,44,4
498,51,2,44,4
499,65,4,44,4
500,86,6,44,4
501,103,8,44,4
502,118,10,44,4
503,127,12,44,4
504,138,14,44,4
505,145,16,44,4
506,146,18,44,4
507,41,0,45,4
508,50,2,45,4
509,61,4,45,4
510,78,6,45,4
511,98,8,45,4
512,117,10,45,4
513,135,12,45,4
514,141,14,45,4
515,147,16,45,4
516,174,18,45,4
517,197,20,45,4
518,196,21,45,4
519,40,0,46,4
520,52,2,46,4
521,62,4,46,4
522,82,6,46,4
523,101,8,46,4
524,120,10,46,4
525,144,12,46,4
526,156,14,46,4
527,173,16,46,4
528,210,18,46,4
529,231,20,46,4
530,238,21,46,4
531,41,0,47,4
532,53,2,47,4
533,66,4,47,4
534,79,6,47,4
535,100,8,47,4
536,123,10,47,4
537,148,12,47,4
538,157,14,47,4
539,168,16,47,4
540,185,18,47,4
541,210,20,47,4
542,205,21,47,4
543,39,0,48,4
544,50,2,48,4
545,62,4,48,4
546,80,6,48,4
547,104,8,48,4
548,125,10,48,4
549,154,12,48,4
550,170,14,48,4
551,222,16,48,4
552,261,18,48,4
553,303,20,48,4
554,322,21,48,4
555,40,0,49,4
556,53,2,49,4
557,64,4,49,4
558,85,6,49,4
559,108,8,49,4
560,128,10,49,4
561,152,12,49,4
562,166,14,49,4
563,184,16,49,4
564,203,18,49,4
565,233,20,49,4
566,237,21,49,4
567,41,0,50,4
568,54,2,50,4
569,67,4,50,4
570,84,6,50,4
571,105,8,50,4
572,122,10,50,4
573,155,12,50,4
574,175,14,50,4
575,205,16,50,4
576,234,18,50,4
577,264,20,50,4
578,264,21,50,4
