rownum,weight,time,chick,diet
221,40,0,21,2
222,50,2,21,2
223,62,4,21,2
224,86,6,21,2
225,125,8,21,2
226,163,10,21,2
227,217,12,21,2
228,240,14,21,2
229,275,16,21,2
230,307,18,21,2
231,318,20,21,2
232,331,21,21,2
233,41,0,22,2
234,55,2,22,2
235,64,4,22,2
236,77,6,22,2
237,90,8,22,2
238,95,10,22,2
239,108,12,22,2
240,111,14,22,2
241,131,16,22,2
242,148,18,22,2
243,164,20,22,2
244,167,21,22,2
245,43,0,23,2
246,52,2,23,2
247,61,4,23,2
248,73,6,23,2
249,90,8,23,2
250,103,10,23,2
251,127,12,23,2
252,135,14,23,2
253,145,16,23,2
254,163,18,23,2
255,170,20,23,2
256,175,21,23,2
257,42,0,24,2
258,52,2,24,2
259,58,4,24,2
260,74,6,24,2
261,66,8,24,2
262,68,10,24,2
263,70,12,24,2
264,71,14,24,2
265,72,16,24,2
266,72,18,24,2
267,76,20,24,2
268,74,21,24,2
269,40,0,25,2
270,49,2,25,2
271,62,4,25,2
272,78,6,25,2
273,102,8,25,2
274,124,10,25,2
275,146,12,25,2
276,164,14,25,2
277,197,16,25,2
278,231,18,25,2
279,259,20,25,2
280,265,21,25,2
281,42,0,26,2
282,48,2,26,2
283,57,4,26,2
284,74,6,26,2
285,93,8,26,2
286,114,10,26,2
287,136,12,26,2
288,147,14,26,2
289,169,16,26,2
290,205,18,26,2
291,236,20,26,2
292,251,21,26,2
293,39,0,27,2
294,46,2,27,2
295,58,4,27,2
296,73,6,27,2
297,87,8,27,2
298,100,10,27,2
299,115,12,27,2
300,123,14,27,2
301,144,16,27,2
302,163,18,27,2
303,185,20,27,2
304,192,21,27,2
305,39,0,28,2
306,46,2,28,2
307,58,4,28,2
308,73,6,28,2
309,92,8,28,2
310,114,10,28,2
311,145,12,28,2
312,156,14,28,2
313,184,16,28,2
314,207,18,28,2
315,212,20,28,2
316,233,21,28,2
317,39,0,29,2
318,48,2,29,2
319,59,4,29,2
320,74,6,29,2
321,87,8,29,2
322,106,10,29,2
323,134,12,29,2
324,150,14,29,2
325,187,16,29,2
326,230,18,29,2
327,279,20,29,2
328,309,21,29,2
329,42,0,30,2
330,48,2,30,2
331,59,4,30,2
332,72,6,30,2
333,85,8,30,2
334,98,10,30,2
335,115,12,30,2
336,122,14,30,2
337,143,16,30,2
338,151,18,30,2
339,157,20,30,2
340,150,21,30,2
