rownum,weight,time,chick,diet
341,42,0,31,3
342,53,2,31,3
343,62,4,31,3
344,73,6,31,3
345,85,8,31,3
346,102,10,31,3
347,123,12,31,3
348,138,14,31,3
349,170,16,31,3
350,204,18,31,3
351,235,20,31,3
352,256,21,31,3
353,41,0,32,3
354,49,2,32,3
355,65,4,32,3
356,82,6,32,3
357,107,8,32,3
358,129,10,32,3
359,159,12,32,3
360,179,14,32,3
361,221,16,32,3
362,263,18,32,3
363,291,20,32,3
364,305,21,32,3
365,39,0,33,3
366,50,2,33,3
367,63,4,33,3
368,77,6,33,3
369,96,8,33,3
370,111,10,33,3
371,137,12,33,3
372,144,14,33,3
373,151,16,33,3
374,146,18,33,3
375,156,20,33,3
376,147,21,33,3
377,41,0,34,3
378,49,2,34,3
379,63,4,34,3
380,85,6,34,3
381,107,8,34,3
382,134,10,34,3
383,164,12,34,3
384,186,14,34,3
385,235,16,34,3
386,294,18,34,3
387,327,20,34,3
388,341,21,34,3
389,41,0,35,3
390,53,2,35,3
391,64,4,35,3
392,87,6,35,3
393,123,8,35,3
394,158,10,35,3
395,201,12,35,3
396,238,14,35,3
397,287,16,35,3
398,332,18,35,3
399,361,20,35,3
400,373,21,35,3
401,39,0,36,3
402,48,2,36,3
403,61,4,36,3
404,76,6,36,3
405,98,8,36,3
406,116,10,36,3
407,145,12,36,3
408,166,14,36,3
409,198,16,36,3
410,227,18,36,3
411,225,20,36,3
412,220,21,36,3
413,41,0,37,3
414,48,2,37,3
415,56,4,37,3
416,68,6,37,3
417,80,8,37,3
418,83,10,37,3
419,103,12,37,3
420,112,14,37,3
421,135,16,37,3
422,157,18,37,3
423,169,20,37,3
424,178,21,37,3
425,41,0,38,3
426,49,2,38,3
427,61,4,38,3
428,74,6,38,3
429,98,8,38,3
430,109,10,38,3
431,128,12,38,3
432,154,14,38,3
433,192,16,38,3
434,232,18,38,3
435,280,20,38,3
436,290,21,38,3
437,42,0,39,3
438,50,2,39,3
439,61,4,39,3
440,78,6,39,3
441,89,8,39,3
442,109,10,39,3
443,130,12,39,3
444,146,14,39,3
445,170,16,39,3
446,214,18,39,3
447,250,20,39,3
448,272,21,39,3
449,41,0,40,3
450,55,2,40,3
451,66,4,40,3
452,79,6,40,3
453,101,8,40,3
454,120,10,40,3
455,154,12,40,3
456,182,14,40,3
457,215,16,40,3
458,262,18,40,3
459,295,20,40,3
460,321,21,40,3
